"doi","protein-3D-heatmap","high-resolution plot","coverage","butterfly","Comparison.Woods.simpliied.woods","chicklet","deuterium-uptake-curves","volcano","error bars"
"10.1073/pnas.2026491118",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"10.1002/pmic.202000298",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"10.1016/j.molcel.2021.07.026",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"10.1016/j.jbc.2021.100980",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"10.1002/pro.4054",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"10.1021/jacs.0c12448",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"10.1016/j.str.2020.11.018",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"10.1074/jbc.ra120.016278",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"10.1002/biot.202100358",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"10.7554/elife.68829",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"10.1016/j.jbc.2021.100919",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"10.1021/acs.biochem.1c00277",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"10.1021/acschembio.1c00084",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"10.1073/pnas.2026650118",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"10.1016/j.xphs.2021.02.002",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"10.1002/pro.4199",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"10.1038/s41467-021-25475-w",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"10.1038/s41598-021-83198-w",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
